City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rabat,MA,72.05,clear sky,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
3,Harrison,US,75.27,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
4,Bluff,NZ,50.5,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
7,Atuona,PF,78.22,clear sky,-9.8,-139.0333,Villa Enata
8,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Ushuaia,AR,53.26,broken clouds,-54.8,-68.3,Albatros Hotel
10,Taoudenni,ML,79.99,scattered clouds,22.6783,-3.9836,
11,Itanhem,BR,73.76,broken clouds,-17.1664,-40.33,Hotel Resende
12,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
14,Hithadhoo,MV,83.1,broken clouds,-0.6,73.0833,Scoop Guest House
15,Mar Del Plata,AR,57.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
16,Cape Town,ZA,62.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
17,Hambantota,LK,78.48,overcast clouds,6.1241,81.1185,Bungalow 63
19,Lagoa,PT,68.25,clear sky,39.05,-27.9833,Casa Das Faias
20,Rikitea,PF,75.18,clear sky,-23.1203,-134.9692,People ThankYou
21,Port Augusta,AU,73.71,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
22,Vila Velha,BR,73.35,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
24,Airai,TL,74.17,broken clouds,-8.9266,125.4092,Juvinal Martin
25,Busselton,AU,56.08,overcast clouds,-33.65,115.3333,Observatory Guest House
26,Jamestown,US,61.92,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
27,Necochea,AR,57.25,clear sky,-38.5473,-58.7368,dyd -mar Hotel
28,Sao Joao Da Barra,BR,68.94,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
29,Santa Rosa,PH,84.09,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
30,Dondo,MZ,65.71,light rain,-19.6094,34.7431,Arco Iris
31,Da Nang,VN,76.98,few clouds,16.0678,108.2208,Sun River Hotel
32,Carnarvon,AU,62.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
33,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
34,Ugoofaaru,MV,81.54,overcast clouds,5.6667,73.0,Ungoofaaru Inn
35,Chuy,UY,55.96,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
37,Media Luna,CU,81.63,overcast clouds,20.1419,-77.435,Casa particular Pedro y Tamara
38,Bambous Virieux,MU,71.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
41,Eyl,SO,77.07,few clouds,7.9803,49.8164,Amiin Hotel
42,Ahipara,NZ,66.96,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
43,Dengzhou,CN,52.9,light rain,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
45,Albany,US,58.95,few clouds,42.6001,-73.9662,
47,Saint George,US,70.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
48,Mahebourg,MU,71.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
49,Parana,AR,64.45,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
50,Hilo,US,82.13,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
51,Tuatapere,NZ,53.02,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
52,Luderitz,NZ,58.42,few clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
53,Grand Gaube,MU,72.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
56,Arraial Do Cabo,BR,67.75,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
57,Punta Arenas,CL,55.51,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
58,Tiznit,MA,73.51,broken clouds,29.5833,-9.5,
60,Ayr,GB,55.38,broken clouds,55.4627,-4.6339,Mercure Ayr Hotel
61,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
62,Kutum,SD,75.83,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
64,Hermanus,ZA,61.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
65,East London,ZA,57.2,clear sky,-33.0153,27.9116,Tu Casa
66,Buraydah,SA,75.65,clear sky,26.326,43.975,فندق راحة السلام
67,Puerto Escondido,MX,88.63,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
68,Bredasdorp,ZA,58.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
69,Faanui,PF,80.46,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
70,Capaci,IT,62.26,clear sky,38.1711,13.2393,Hotel Sirenetta
71,Coihaique,CL,62.55,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
72,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
75,Castro,BR,51.42,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
76,Namibe,AO,64.49,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
77,Beloha,MG,66.18,overcast clouds,-25.1667,45.05,
78,New Norfolk,AU,56.91,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
79,Mataura,NZ,55.06,broken clouds,-46.1927,168.8643,Ellie's Villa
80,Ribeira Grande,PT,69.48,few clouds,38.5167,-28.7,Quinta da Meia Eira
