City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rabat,MA,33.9911,-6.8401,72.05,90,7,4.61,clear sky
1,Longyearbyen,SJ,78.2186,15.6401,12.04,73,20,9.22,few clouds
2,Nikolskoye,RU,59.7035,30.7861,32.88,78,98,4.29,overcast clouds
3,Harrison,US,30.4091,-89.0436,75.27,76,1,8.05,clear sky
4,Bluff,NZ,-46.6,168.3333,50.5,55,77,5.23,broken clouds
5,Qaanaaq,GL,77.484,-69.3632,25.75,92,99,9.04,light snow
6,Ust-Barguzin,RU,53.45,108.9833,32.22,91,41,3.0,scattered clouds
7,Atuona,PF,-9.8,-139.0333,78.22,76,2,17.69,clear sky
8,Kapaa,US,22.0752,-159.319,82.38,68,20,4.0,few clouds
9,Ushuaia,AR,-54.8,-68.3,53.26,62,75,23.02,broken clouds
10,Taoudenni,ML,22.6783,-3.9836,79.99,19,49,14.0,scattered clouds
11,Itanhem,BR,-17.1664,-40.33,73.76,81,81,6.22,broken clouds
12,Acapulco,MX,16.8634,-99.8901,84.02,79,75,3.44,broken clouds
13,Sioux Lookout,CA,50.1001,-91.917,43.18,70,75,10.36,broken clouds
14,Hithadhoo,MV,-0.6,73.0833,83.1,73,80,14.16,broken clouds
15,Mar Del Plata,AR,-38.0023,-57.5575,57.22,43,0,8.01,clear sky
16,Cape Town,ZA,-33.9258,18.4232,62.11,68,0,6.91,clear sky
17,Hambantota,LK,6.1241,81.1185,78.48,80,97,10.98,overcast clouds
18,Yellowknife,CA,62.456,-114.3525,40.41,76,75,14.97,broken clouds
19,Lagoa,PT,39.05,-27.9833,68.25,68,2,12.8,clear sky
20,Rikitea,PF,-23.1203,-134.9692,75.18,77,2,20.42,clear sky
21,Port Augusta,AU,-32.5,137.7667,73.71,18,99,15.08,overcast clouds
22,Vila Velha,BR,-20.3297,-40.2925,73.35,83,75,5.75,light rain
23,Ostrovnoy,RU,68.0531,39.5131,33.64,64,99,18.39,overcast clouds
24,Airai,TL,-8.9266,125.4092,74.17,40,72,3.13,broken clouds
25,Busselton,AU,-33.65,115.3333,56.08,80,100,18.97,overcast clouds
26,Jamestown,US,42.097,-79.2353,61.92,62,1,1.99,clear sky
27,Necochea,AR,-38.5473,-58.7368,57.25,74,6,9.53,clear sky
28,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.94,91,100,17.09,overcast clouds
29,Santa Rosa,PH,14.3122,121.1114,84.09,75,68,11.23,broken clouds
30,Dondo,MZ,-19.6094,34.7431,65.71,83,100,9.44,light rain
31,Da Nang,VN,16.0678,108.2208,76.98,88,20,0.0,few clouds
32,Carnarvon,AU,-24.8667,113.6333,62.67,77,75,4.61,broken clouds
33,Salalah,OM,17.0151,54.0924,77.09,78,20,3.44,few clouds
34,Ugoofaaru,MV,5.6667,73.0,81.54,72,90,12.53,overcast clouds
35,Chuy,UY,-33.6971,-53.4616,55.96,78,25,8.34,scattered clouds
36,Baruun-Urt,MN,46.6806,113.2792,30.6,53,3,2.51,clear sky
37,Media Luna,CU,20.1419,-77.435,81.63,70,100,13.38,overcast clouds
38,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,75,3.44,broken clouds
39,Pevek,RU,69.7008,170.3133,16.61,92,100,15.05,overcast clouds
40,Znamenskoye,RU,57.1281,73.8282,42.03,83,94,7.0,overcast clouds
41,Eyl,SO,7.9803,49.8164,77.07,85,19,4.79,few clouds
42,Ahipara,NZ,-35.1667,173.1667,66.96,55,86,1.77,overcast clouds
43,Dengzhou,CN,37.8086,120.7508,52.9,50,92,7.49,light rain
44,Aklavik,CA,68.2191,-135.0107,20.23,86,77,9.8,broken clouds
45,Albany,US,42.6001,-73.9662,58.95,62,12,12.26,few clouds
46,Nome,US,64.5011,-165.4064,33.87,93,90,17.27,light snow
47,Saint George,US,37.1041,-113.5841,70.27,26,1,1.01,clear sky
48,Mahebourg,MU,-20.4081,57.7,71.89,88,75,3.44,broken clouds
49,Parana,AR,-31.732,-60.5238,64.45,61,0,8.52,clear sky
50,Hilo,US,19.7297,-155.09,82.13,69,75,9.22,broken clouds
51,Tuatapere,NZ,-46.1333,167.6833,53.02,53,43,4.18,scattered clouds
52,Luderitz,NA,-26.6481,15.1594,58.42,71,13,5.97,few clouds
53,Grand Gaube,MU,-20.0064,57.6608,72.0,84,66,1.99,broken clouds
54,Kamenka,RU,51.3223,42.7678,34.48,85,90,8.12,overcast clouds
55,Yagodnoye,RU,62.55,149.6667,-8.72,82,5,3.6,clear sky
56,Arraial Do Cabo,BR,-22.9661,-42.0278,67.75,79,100,18.68,overcast clouds
57,Punta Arenas,CL,-53.15,-70.9167,55.51,67,40,6.91,scattered clouds
58,Tiznit,MA,29.5833,-9.5,73.51,27,82,3.71,broken clouds
59,Tasiilaq,GL,65.6145,-37.6368,30.36,52,1,6.15,clear sky
60,Ayr,GB,55.4627,-4.6339,55.38,82,75,14.97,broken clouds
61,Vaini,TO,-21.2,-175.2,78.96,83,75,5.75,broken clouds
62,Kutum,SD,14.2,24.6667,75.83,18,28,16.44,scattered clouds
63,Rudnogorsk,RU,57.2639,103.7519,33.33,99,100,3.6,overcast clouds
64,Hermanus,ZA,-34.4187,19.2345,61.9,89,3,13.18,clear sky
65,East London,ZA,-33.0153,27.9116,57.2,75,0,9.98,clear sky
66,Buraydah,SA,26.326,43.975,75.65,20,0,8.48,clear sky
67,Puerto Escondido,MX,15.85,-97.0667,88.63,62,75,3.44,broken clouds
68,Bredasdorp,ZA,-34.5322,20.0403,58.28,94,7,6.55,clear sky
69,Faanui,PF,-16.4833,-151.75,80.46,73,84,11.45,broken clouds
70,Capaci,IT,38.1711,13.2393,62.26,94,0,3.44,clear sky
71,Coihaique,CL,-45.5752,-72.0662,62.55,63,20,8.05,few clouds
72,Kota Kinabalu,MY,5.9749,116.0724,76.98,94,20,4.61,few clouds
73,Dikson,RU,73.5069,80.5464,26.85,60,100,6.4,overcast clouds
74,Provideniya,RU,64.3833,-173.3,33.91,69,75,15.66,broken clouds
75,Castro,BR,-24.7911,-50.0119,51.42,98,100,7.43,overcast clouds
76,Namibe,AO,-15.1961,12.1522,64.49,91,47,3.71,scattered clouds
77,Beloha,MG,-25.1667,45.05,66.18,78,95,11.45,overcast clouds
78,New Norfolk,AU,-42.7826,147.0587,56.91,55,6,4.0,clear sky
79,Mataura,NZ,-46.1927,168.8643,55.06,45,81,3.6,broken clouds
80,Ribeira Grande,PT,38.5167,-28.7,69.48,67,14,9.62,few clouds
81,Solnechnyy,RU,50.7214,136.6319,28.72,55,54,1.95,broken clouds
82,Kupang,ID,-10.1667,123.5833,81.18,89,40,3.44,scattered clouds
83,Biak,ID,-0.9131,122.8766,81.41,70,52,3.44,broken clouds
84,Palaikastron,GR,35.2,26.25,64.74,65,1,27.47,clear sky
85,Tiksi,RU,71.6872,128.8694,17.13,95,100,7.45,light snow
86,Pisco,PE,-13.7,-76.2167,62.65,77,0,14.97,clear sky
87,Bethel,US,41.3712,-73.414,62.96,60,1,9.22,clear sky
88,Upernavik,GL,72.7868,-56.1549,33.71,86,100,25.81,light rain
89,Poum,NC,-20.2333,164.0167,76.3,79,100,5.5,overcast clouds
90,Aksha,RU,50.2814,113.2867,28.18,80,15,4.38,few clouds
91,Cidreira,BR,-30.1811,-50.2056,61.84,68,1,11.1,clear sky
92,Naze,JP,28.3667,129.4833,70.72,57,86,14.85,overcast clouds
93,Isangel,VU,-19.55,169.2667,79.72,79,100,11.05,overcast clouds
94,Saint-Philippe,RE,-21.3585,55.7679,71.19,74,13,8.19,few clouds
95,Meridian,US,43.6121,-116.3915,65.98,38,1,1.01,clear sky
96,Alta Floresta,BR,-9.8756,-56.0861,74.7,78,96,2.8,overcast clouds
97,Kayerkan,RU,69.3497,87.7602,30.34,96,100,8.77,light snow
98,Iquique,CL,-20.2208,-70.1431,60.84,75,18,4.65,few clouds
99,Aksu,CN,41.1231,80.2644,49.57,26,23,2.93,few clouds
100,Belmonte,BR,-15.8631,-38.8828,79.3,83,40,9.66,scattered clouds
101,Kaka,TM,37.3482,59.6143,63.01,19,97,4.85,overcast clouds
102,Chumikan,RU,54.7183,135.315,26.74,75,15,18.07,few clouds
103,Batemans Bay,AU,-35.7167,150.1833,61.99,93,97,13.69,light rain
104,Thompson,CA,55.7435,-97.8558,37.56,52,75,8.05,broken clouds
105,Hamilton,US,39.1834,-84.5333,64.09,71,1,0.0,clear sky
106,Carpina,BR,-7.8508,-35.2547,78.55,91,85,3.31,overcast clouds
107,Paamiut,GL,61.994,-49.6678,38.16,59,10,4.27,clear sky
108,San Cristobal,VE,7.7669,-72.225,75.38,92,38,2.46,scattered clouds
109,Kaitangata,NZ,-46.2817,169.8464,52.93,49,45,6.89,scattered clouds
110,Goderich,CA,43.7501,-81.7165,61.92,67,50,6.91,scattered clouds
111,Shache,CN,38.4167,77.2406,50.99,22,72,4.9,broken clouds
112,Kabare,CD,-2.4683,28.8242,63.03,93,100,1.54,light rain
113,Chany,RU,55.3121,76.7647,40.26,75,82,8.23,broken clouds
114,Codrington,AU,-38.2667,141.9667,60.55,65,93,15.3,overcast clouds
115,Berdigestyakh,RU,62.0989,126.6992,31.05,96,100,8.72,light snow
116,Qaqortoq,GL,60.7167,-46.0333,36.1,44,0,7.0,clear sky
117,Yanliang,CN,34.6592,109.2292,49.19,92,100,6.73,overcast clouds
118,Cherskiy,RU,68.75,161.3,-3.23,100,100,2.8,overcast clouds
119,Alexandria,EG,31.2156,29.9553,70.34,64,40,8.05,scattered clouds
120,Rawson,AR,-43.3002,-65.1023,64.08,45,1,14.29,clear sky
121,Lebu,CL,-37.6167,-73.65,51.98,96,1,8.34,clear sky
122,Boshnyakovo,RU,49.6333,142.1667,32.13,57,7,4.81,clear sky
123,Omboue,GA,-1.5746,9.2618,75.29,85,93,4.83,overcast clouds
124,Drayton Valley,CA,53.2168,-114.9854,48.9,56,95,15.12,overcast clouds
125,Severo-Kurilsk,RU,50.6789,156.125,38.3,96,97,3.76,light rain
126,Talnakh,RU,69.4865,88.3972,30.88,97,100,9.78,light snow
127,Saskylakh,RU,71.9167,114.0833,21.06,97,100,0.98,overcast clouds
128,Cairo,EG,30.0626,31.2497,72.36,45,0,8.05,clear sky
129,Post Falls,US,47.718,-116.9516,69.85,37,1,4.0,clear sky
