City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dwarka,IN,2021-10-18 05:35:43,22.2394,68.9678,84.22,54,5,13.91
1,Morropon,PE,2021-10-18 05:35:44,-5.1822,-79.9689,69.22,81,83,2.57
2,Lubaczow,PL,2021-10-18 05:35:44,50.157,23.1234,43.52,74,100,6.58
3,Ponta Do Sol,PT,2021-10-18 05:35:45,32.6667,-17.1,70.0,73,43,3.56
4,Albany,US,2021-10-18 05:35:45,42.6001,-73.9662,48.15,88,61,5.99
5,Comodoro Rivadavia,AR,2021-10-18 05:31:05,-45.8667,-67.5,55.26,47,0,12.66
6,Bethel,US,2021-10-18 05:35:46,41.3712,-73.414,53.01,81,1,4.61
7,Isangel,VU,2021-10-18 05:34:15,-19.55,169.2667,80.71,78,90,0.0
8,Victoria,HK,2021-10-18 05:33:59,22.2855,114.1577,80.96,62,56,3.0
9,Tautira,PF,2021-10-18 05:35:47,-17.7333,-149.15,80.62,75,70,20.24
10,Port Hardy,CA,2021-10-18 05:35:48,50.6996,-127.4199,48.2,93,40,4.61
11,Cape Town,ZA,2021-10-18 05:35:48,-33.9258,18.4232,59.11,66,0,4.0
12,Kudahuvadhoo,MV,2021-10-18 05:35:49,2.6708,72.8944,83.46,71,45,15.32
13,Buraydah,SA,2021-10-18 05:34:36,26.326,43.975,77.45,20,0,11.27
14,Inirida,CO,2021-10-18 05:35:49,3.8653,-67.9239,72.36,98,71,2.24
15,Camopi,GF,2021-10-18 05:35:50,3.1655,-52.3158,71.08,100,91,2.17
16,Castro,BR,2021-10-18 05:35:50,-24.7911,-50.0119,55.18,99,100,6.78
17,Punta Arenas,CL,2021-10-18 05:35:51,-53.15,-70.9167,48.31,76,0,12.66
18,Namatanai,PG,2021-10-18 05:35:51,-3.6667,152.4333,84.87,68,70,11.25
19,Marang,MY,2021-10-18 05:35:52,5.2056,103.2059,89.51,68,99,6.04
20,Sibolga,ID,2021-10-18 05:35:52,1.7427,98.7792,85.55,67,100,4.32
